Book,Author,Achievement,Active Dates,Source,Link,Cover,Season
Exit West,Mohsin Hamid,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/30688435,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1477324680i/30688435.jpg,Fall 2025
Murder,"Memory (Dorothy Gentleman, #1)",Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/211004175,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1724325334i/211004175.jpg,Fall 2025
"My Sister, the Serial Killer",Oyinkan Braithwaite,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/38819868,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1523366732i/38819868.jpg,Fall 2025
The Empress of Salt and Fortune (The Singing Hills Cycl…,Nghi Vo,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/49882356,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1604973382i/49882356.jpg,Fall 2025
"Gilead (Gilead, #1)",Marilynne Robinson,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/51321772,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1704247171i/51321772.jpg,Fall 2025
The English Experience,Julie Schumacher,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/63366031,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1684815303i/63366031.jpg,Fall 2025
An Unnecessary Woman,Rabih Alameddine,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/36324288,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1506694519i/36324288.jpg,Fall 2025
Stories from the Tenants Downstairs,Sidik Fofana,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/59366136,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1658349924i/59366136.jpg,Fall 2025
Company,Shannon Sanders,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/65215464,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1674268835i/65215464.jpg,Fall 2025
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/35427437,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1500627530i/35427437.jpg,Fall 2025
Wandering Souls,Cecile Pin,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/60741794,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1716405505i/60741794.jpg,Fall 2025
Land of No Regrets,Sadi Muktadir,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/197108937,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1704854169i/197108937.jpg,Fall 2025
Nonfiction,Julie Myerson,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/181509531,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1689357119i/181509531.jpg,Fall 2025
We All Want Impossible Things,Catherine Newman,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/60410002,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1645390620i/60410002.jpg,Fall 2025
Mrs. Dalloway,Virginia Woolf,Bite-Size Books,,https://www.goodreads.com/blog/show/3010?ref=gradp_bitesizebooks,https://www.goodreads.com/book/show/14942,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1646148221i/14942.jpg,Fall 2025
